size = 122175
mmap = 5124 cycles time 0.000000 micro s 
FOUND 70336 160 cycles: time  0.094118 micro s
FOUND 73600 160 cycles: time  0.094118 micro s
FOUND 73664 388 cycles: time  0.228235 micro s
FOUND 73728 176 cycles: time  0.103529 micro s
FOUND 73792 164 cycles: time  0.096471 micro s
FOUND 73856 972 cycles: time  0.571765 micro s
FOUND 73920 164 cycles: time  0.096471 micro s
FOUND 73984 160 cycles: time  0.094118 micro s
FOUND 74048 800 cycles: time  0.470588 micro s
FOUND 74112 164 cycles: time  0.096471 micro s
FOUND 74176 160 cycles: time  0.094118 micro s
FOUND 74240 888 cycles: time  0.522353 micro s
FOUND 74304 168 cycles: time  0.098824 micro s
FOUND 74368 164 cycles: time  0.096471 micro s
FOUND 74432 168 cycles: time  0.098824 micro s
FOUND 77824 640 cycles: time  0.376471 micro s
FOUND 77888 160 cycles: time  0.094118 micro s
FOUND 77952 164 cycles: time  0.096471 micro s
FOUND 78016 164 cycles: time  0.096471 micro s
FOUND 78080 160 cycles: time  0.094118 micro s
FOUND 78144 168 cycles: time  0.098824 micro s
FOUND 78208 160 cycles: time  0.094118 micro s
FOUND 78272 168 cycles: time  0.098824 micro s
FOUND 78336 160 cycles: time  0.094118 micro s
FOUND 78400 164 cycles: time  0.096471 micro s
FOUND 78464 160 cycles: time  0.094118 micro s
FOUND 78528 164 cycles: time  0.096471 micro s
FOUND 81920 176 cycles: time  0.103529 micro s
FOUND 81984 164 cycles: time  0.096471 micro s
FOUND 82048 164 cycles: time  0.096471 micro s
FOUND 82112 164 cycles: time  0.096471 micro s
FOUND 82176 164 cycles: time  0.096471 micro s
FOUND 82240 160 cycles: time  0.094118 micro s
FOUND 82304 164 cycles: time  0.096471 micro s
FOUND 82368 164 cycles: time  0.096471 micro s
FOUND 82432 160 cycles: time  0.094118 micro s
FOUND 82496 164 cycles: time  0.096471 micro s
FOUND 82560 164 cycles: time  0.096471 micro s
FOUND 82624 164 cycles: time  0.096471 micro s
FOUND 83840 164 cycles: time  0.096471 micro s
FOUND 83904 160 cycles: time  0.094118 micro s
FOUND 83968 164 cycles: time  0.096471 micro s
FOUND 84032 164 cycles: time  0.096471 micro s
FOUND 84096 160 cycles: time  0.094118 micro s
FOUND 84160 168 cycles: time  0.098824 micro s
FOUND 84224 164 cycles: time  0.096471 micro s
FOUND 84288 168 cycles: time  0.098824 micro s
FOUND 84352 164 cycles: time  0.096471 micro s
FOUND 84416 168 cycles: time  0.098824 micro s
FOUND 84480 160 cycles: time  0.094118 micro s
FOUND 84544 164 cycles: time  0.096471 micro s
FOUND 86016 180 cycles: time  0.105882 micro s
FOUND 86080 660 cycles: time  0.388235 micro s
FOUND 86144 164 cycles: time  0.096471 micro s
FOUND 86208 160 cycles: time  0.094118 micro s
FOUND 86272 956 cycles: time  0.562353 micro s
FOUND 86336 164 cycles: time  0.096471 micro s
FOUND 86400 164 cycles: time  0.096471 micro s
FOUND 86464 1000 cycles: time  0.588235 micro s
FOUND 86528 164 cycles: time  0.096471 micro s
FOUND 86592 576 cycles: time  0.338824 micro s
FOUND 86656 844 cycles: time  0.496471 micro s
FOUND 86720 160 cycles: time  0.094118 micro s
FOUND 90112 176 cycles: time  0.103529 micro s
FOUND 90176 164 cycles: time  0.096471 micro s
